Iteration,Acceptance,Action
100.0,47.0,117.43902752230917
200.0,44.5,113.81151821235292
300.0,44.666666666666664,112.9841754162413
400.0,48.0,114.65090739275081
500.0,48.8,112.55248245507316
600.0,49.833333333333336,101.94489694890598
700.0,49.0,99.89874210400728
800.0,48.25,104.40325289322097
900.0,47.44444444444444,106.94667214413568
1000.0,48.2,115.60822484419197
1100.0,47.90909090909091,110.0204388465616
1200.0,47.916666666666664,101.65068356070833
1300.0,48.0,109.32218350689071
1400.0,48.142857142857146,112.12396935035247
1500.0,48.0,111.92855049926202
1600.0,48.125,104.28585091043038
1700.0,48.294117647058826,103.45342755029513
1800.0,48.5,113.37539872115897
1900.0,48.78947368421053,107.2125042253694
2000.0,48.4,106.80446858332603
2100.0,48.476190476190474,110.21985947639214
2200.0,48.5,120.71495152127596
2300.0,48.391304347826086,124.67690653873956
2400.0,48.5,107.49555855895495
2500.0,48.44,118.02875319885325
2600.0,48.26923076923077,117.58777958873937
2700.0,48.18518518518518,112.66638027308659
2800.0,48.142857142857146,112.52015965800666
2900.0,47.93103448275862,104.14213084559945
3000.0,47.86666666666667,94.6945163197492
3100.0,47.67741935483871,98.86205337753702
3200.0,47.5,99.47813282288223
3300.0,47.303030303030305,99.40372872306499
3400.0,47.470588235294116,108.6449441033689
3500.0,47.51428571428571,106.32532580501687
3600.0,47.69444444444444,107.0363277792807
3700.0,47.486486486486484,98.84328438549315
3800.0,47.578947368421055,102.02214919683458
3900.0,47.666666666666664,101.91884483399527
4000.0,47.725,103.63624484180087
4100.0,47.90243902439025,102.03988059218284
4200.0,47.857142857142854,96.41316241498039
4300.0,48.04651162790697,90.55829663703982
4400.0,48.04545454545455,91.12542587692624
4500.0,48.044444444444444,88.51614297019326
4600.0,48.06521739130435,93.58938634720363
4700.0,47.97872340425532,96.57880498102755
4800.0,47.958333333333336,93.73851524533538
4900.0,48.0,91.01176895743309
5000.0,47.94,90.60123712155259
5100.0,47.92156862745098,86.70219834253206
5200.0,47.92307692307692,95.25590284576705
5300.0,48.094339622641506,104.41329807806841
5400.0,48.0,103.17026299364036
5500.0,48.09090909090909,103.101113457861
5600.0,47.964285714285715,101.82823618942439
5700.0,48.03508771929825,100.2918083995324
5800.0,48.10344827586207,103.13062599410694
5900.0,48.220338983050844,99.20405790394767
6000.0,48.333333333333336,100.00410825948916
6100.0,48.36065573770492,104.384062427886
6200.0,48.306451612903224,118.607726639099
6300.0,48.55555555555556,111.85959002988697
6400.0,48.609375,108.37238733557524
6500.0,48.61538461538461,102.17196740784127
6600.0,48.65151515151515,97.09269549367896
6700.0,48.61194029850746,99.08841533881673
6800.0,48.544117647058826,104.88486308393492
6900.0,48.52173913043478,101.24918453182102
7000.0,48.614285714285714,104.19709951076197
7100.0,48.57746478873239,110.43089768363853
7200.0,48.611111111111114,120.4926935023427
7300.0,48.47945205479452,111.34827548228556
7400.0,48.54054054054054,106.4913914786453
7500.0,48.53333333333333,111.06075357872487
7600.0,48.51315789473684,114.09728959248235
7700.0,48.493506493506494,111.34817602789118
7800.0,48.51282051282051,106.98581220109591
7900.0,48.53164556962025,113.13134887482201
